airline,num_flights,avg_arr_delay,avg_dep_delay
Allegiant Air,50179,13.284601127961896,13.829390781004006
JetBlue Airways,109447,12.276124516889453,18.132904510859138
Frontier Airlines Inc.,62711,11.100428951858525,15.949929039562438
ExpressJet Airlines LLC d/b/a aha!,17951,10.03197593448833,12.679182218260822
Spirit Air Lines,93200,8.029484978540772,12.948776824034335
Mesa Airlines Inc.,62477,7.3098100100837105,12.152616162747892
American Airlines Inc.,371218,6.661228711969786,12.533756444999973
United Air Lines Inc.,248270,5.035985016312885,11.140117613888105
SkyWest Airlines Inc.,334986,4.023311421969874,9.401542154000465
PSA Airlines Inc.,103483,3.9286549481557356,7.884618729646415
Hawaiian Airlines Inc.,31698,3.8947567669884537,5.0755568174648245
Envoy Air,117312,3.2789143480632843,6.635339948172395
Southwest Airlines Co.,555869,3.2697955813330117,10.786933612056078
Horizon Air,20237,2.3762415377773385,4.793645303157582
Alaska Airlines Inc.,98294,1.0979001770199606,4.554194559179604
Delta Air Lines Inc.,388475,1.0850788339017954,8.018225111011004
Republic Airline,138147,0.5901756824252427,5.680593860163449
Endeavor Air Inc.,109848,-1.2585390721724565,5.89900589906052
