year,month,avg_arr_delay,n
2019,1,4.09134623730579,57605
2019,2,9.032902334210476,52823
2019,3,3.2983111195135018,63474
2019,4,4.563335539377896,60440
2019,5,6.541246627857447,63387
2019,6,11.789805595068753,63270
2019,7,8.340810728436452,65620
2019,8,7.678693430877596,66158
2019,9,0.058015994219748096,60897
2019,10,2.3436420233463036,64250
2019,11,-0.09342062193126023,61100
2019,12,5.985936707255201,63072
2020,1,-1.6639254654331261,61287
2020,2,-0.277954498305788,57844
2020,3,-6.309905720358226,55049
2020,4,-13.866670232110387,18698
2020,5,-11.336881472957423,17380
2020,6,-7.63257065948856,23033
2020,7,-5.241175647305808,35725
2020,8,-5.999658353262727,38051
2020,9,-7.3224043715847,32574
2020,10,-5.0481580053228745,35695
2020,11,-6.625219197669086,37067
2020,12,-2.0418492784607163,37420
2021,1,-5.065679012345679,36450
2021,2,0.40868061015883,31795
2021,3,-4.685801554148139,44526
2021,4,-3.730764151773924,45436
2021,5,-0.49125996364144875,50057
2021,6,10.351131405004327,54313
2021,7,11.805547485174234,58513
2021,8,9.20297925657803,57464
2021,9,0.41623889164872774,54351
2021,10,3.9093289630724835,56137
2021,11,0.6207294635448609,55438
2021,12,6.759401763566243,55229
2022,1,3.981634044210731,51345
2022,2,4.598560674993796,48356
2022,3,7.289977060172931,56670
2022,4,8.483004267013813,55308
2022,5,7.15155348385867,57709
2022,6,10.815224998250402,57156
2022,7,9.817402702157693,59508
2022,8,8.442626590385109,58555
2022,9,1.9254713783692181,56059
2022,10,1.9833198212961205,57973
2022,11,4.538788196389526,55339
2022,12,13.4514251715226,53783
2023,1,7.723224518466487,54098
2023,2,3.953060570879539,49958
2023,3,9.64229167383747,58106
2023,4,9.25363584515577,56108
2023,5,3.8280251538213808,58997
2023,6,14.245814839408661,57226
2023,7,16.99865647829373,59545
2023,8,8.411577639751552,60375
