year,month,num_flights,avg_arr_delay
2019,1,57605,4.09134623730579
2019,2,52823,9.032902334210476
2019,3,63474,3.2983111195135018
2019,4,60440,4.563335539377896
2019,5,63387,6.541246627857447
2019,6,63270,11.789805595068753
2019,7,65620,8.340810728436452
2019,8,66158,7.678693430877596
2019,9,60897,0.058015994219748096
2019,10,64250,2.3436420233463036
2019,11,61100,-0.09342062193126023
2019,12,63072,5.985936707255201
2020,1,61287,-1.6639254654331261
2020,2,57844,-0.277954498305788
2020,3,55049,-6.309905720358226
2020,4,18698,-13.866670232110387
2020,5,17380,-11.336881472957423
2020,6,23033,-7.63257065948856
2020,7,35725,-5.241175647305808
2020,8,38051,-5.999658353262727
2020,9,32574,-7.3224043715847
2020,10,35695,-5.0481580053228745
2020,11,37067,-6.625219197669086
2020,12,37420,-2.0418492784607163
2021,1,36450,-5.065679012345679
2021,2,31795,0.40868061015883
2021,3,44526,-4.685801554148139
2021,4,45436,-3.730764151773924
2021,5,50057,-0.49125996364144875
2021,6,54313,10.351131405004327
2021,7,58513,11.805547485174234
2021,8,57464,9.20297925657803
2021,9,54351,0.41623889164872774
2021,10,56137,3.9093289630724835
2021,11,55438,0.6207294635448609
2021,12,55229,6.759401763566243
2022,1,51345,3.981634044210731
2022,2,48356,4.598560674993796
2022,3,56670,7.289977060172931
2022,4,55308,8.483004267013813
2022,5,57709,7.15155348385867
2022,6,57156,10.815224998250402
2022,7,59508,9.817402702157693
2022,8,58555,8.442626590385109
2022,9,56059,1.9254713783692181
2022,10,57973,1.9833198212961205
2022,11,55339,4.538788196389526
2022,12,53783,13.4514251715226
2023,1,54098,7.723224518466487
2023,2,49958,3.953060570879539
2023,3,58106,9.64229167383747
2023,4,56108,9.25363584515577
2023,5,58997,3.8280251538213808
2023,6,57226,14.245814839408661
2023,7,59545,16.99865647829373
2023,8,60375,8.411577639751552
